# SINTÉTICO — demo crevice_flow (não é dado de ensaio)
theta_deg,P_bar
-180.000,1.249566
-179.500,1.249589
-179.000,1.249655
-178.500,1.249765
-178.000,1.249919
-177.500,1.250118
-177.000,1.250361
-176.500,1.250648
-176.000,1.250979
-175.500,1.251355
-175.000,1.251775
-174.500,1.252239
-174.000,1.252748
-173.500,1.253302
-173.000,1.253901
-172.500,1.254544
-172.000,1.255233
-171.500,1.255967
-171.000,1.256746
-170.500,1.257570
-170.000,1.258440
-169.500,1.259356
-169.000,1.260318
-168.500,1.261326
-168.000,1.262380
-167.500,1.263481
-167.000,1.264628
-166.500,1.265822
-166.000,1.267064
-165.500,1.268353
-165.000,1.269689
-164.500,1.271073
-164.000,1.272506
-163.500,1.273987
-163.000,1.275517
-162.500,1.277095
-162.000,1.278723
-161.500,1.280401
-161.000,1.282128
-160.500,1.283906
-160.000,1.285735
-159.500,1.287614
-159.000,1.289545
-158.500,1.291527
-158.000,1.293562
-157.500,1.295649
-157.000,1.297789
-156.500,1.299982
-156.000,1.302229
-155.500,1.304531
-155.000,1.306887
-154.500,1.309298
-154.000,1.311765
-153.500,1.314287
-153.000,1.316867
-152.500,1.319504
-152.000,1.322198
-151.500,1.324950
-151.000,1.327762
-150.500,1.330632
-150.000,1.333563
-149.500,1.336554
-149.000,1.339606
-148.500,1.342720
-148.000,1.345897
-147.500,1.349136
-147.000,1.352440
-146.500,1.355807
-146.000,1.359240
-145.500,1.362739
-145.000,1.366304
-144.500,1.369937
-144.000,1.373638
-143.500,1.377408
-143.000,1.381247
-142.500,1.385157
-142.000,1.389139
-141.500,1.393192
-141.000,1.397319
-140.500,1.401520
-140.000,1.405796
-139.500,1.410147
-139.000,1.414576
-138.500,1.419083
-138.000,1.423668
-137.500,1.428333
-137.000,1.433079
-136.500,1.437907
-136.000,1.442818
-135.500,1.447814
-135.000,1.452895
-134.500,1.458062
-134.000,1.463317
-133.500,1.468661
-133.000,1.474095
-132.500,1.479621
-132.000,1.485239
-131.500,1.490951
-131.000,1.496759
-130.500,1.502664
-130.000,1.508667
-129.500,1.514769
-129.000,1.520973
-128.500,1.527280
-128.000,1.533690
-127.500,1.540207
-127.000,1.546831
-126.500,1.553564
-126.000,1.560408
-125.500,1.567364
-125.000,1.574434
-124.500,1.581621
-124.000,1.588925
-123.500,1.596349
-123.000,1.603895
-122.500,1.611564
-122.000,1.619359
-121.500,1.627282
-121.000,1.635335
-120.500,1.643519
-120.000,1.651838
-119.500,1.660292
-119.000,1.668886
-118.500,1.677620
-118.000,1.686498
-117.500,1.695522
-117.000,1.704694
-116.500,1.714017
-116.000,1.723493
-115.500,1.733126
-115.000,1.742917
-114.500,1.752870
-114.000,1.762988
-113.500,1.773274
-113.000,1.783730
-112.500,1.794359
-112.000,1.805165
-111.500,1.816152
-111.000,1.827321
-110.500,1.838677
-110.000,1.850223
-109.500,1.861963
-109.000,1.873900
-108.500,1.886038
-108.000,1.898381
-107.500,1.910932
-107.000,1.923696
-106.500,1.936676
-106.000,1.949877
-105.500,1.963304
-105.000,1.976959
-104.500,1.990849
-104.000,2.004977
-103.500,2.019349
-103.000,2.033968
-102.500,2.048840
-102.000,2.063971
-101.500,2.079364
-101.000,2.095026
-100.500,2.110963
-100.000,2.127178
-99.500,2.143679
-99.000,2.160471
-98.500,2.177561
-98.000,2.194953
-97.500,2.212656
-97.000,2.230674
-96.500,2.249016
-96.000,2.267687
-95.500,2.286695
-95.000,2.306047
-94.500,2.325750
-94.000,2.345812
-93.500,2.366241
-93.000,2.387044
-92.500,2.408231
-92.000,2.429809
-91.500,2.451786
-91.000,2.474173
-90.500,2.496978
-90.000,2.520210
-89.500,2.543879
-89.000,2.567995
-88.500,2.592568
-88.000,2.617608
-87.500,2.643127
-87.000,2.669135
-86.500,2.695644
-86.000,2.722665
-85.500,2.750211
-85.000,2.778293
-84.500,2.806924
-84.000,2.836118
-83.500,2.865887
-83.000,2.896247
-82.500,2.927210
-82.000,2.958791
-81.500,2.991006
-81.000,3.023869
-80.500,3.057398
-80.000,3.091608
-79.500,3.126516
-79.000,3.162139
-78.500,3.198496
-78.000,3.235605
-77.500,3.273484
-77.000,3.312154
-76.500,3.351635
-76.000,3.391946
-75.500,3.433111
-75.000,3.475150
-74.500,3.518086
-74.000,3.561944
-73.500,3.606746
-73.000,3.652519
-72.500,3.699287
-72.000,3.747077
-71.500,3.795916
-71.000,3.845833
-70.500,3.896856
-70.000,3.949017
-69.500,4.002344
-69.000,4.056871
-68.500,4.112631
-68.000,4.169656
-67.500,4.227984
-67.000,4.287648
-66.500,4.348689
-66.000,4.411142
-65.500,4.475050
-65.000,4.540452
-64.500,4.607392
-64.000,4.675913
-63.500,4.746061
-63.000,4.817883
-62.500,4.891427
-62.000,4.966744
-61.500,5.043884
-61.000,5.122903
-60.500,5.203854
-60.000,5.286796
-59.500,5.371787
-59.000,5.458888
-58.500,5.548163
-58.000,5.639678
-57.500,5.733499
-57.000,5.829696
-56.500,5.928343
-56.000,6.029513
-55.500,6.133284
-55.000,6.239735
-54.500,6.348951
-54.000,6.461015
-53.500,6.576017
-53.000,6.694049
-52.500,6.815204
-52.000,6.939581
-51.500,7.067281
-51.000,7.198408
-50.500,7.333072
-50.000,7.471385
-49.500,7.613461
-49.000,7.759421
-48.500,7.909389
-48.000,8.063492
-47.500,8.221865
-47.000,8.384642
-46.500,8.551965
-46.000,8.723982
-45.500,8.900841
-45.000,9.082701
-44.500,9.269721
-44.000,9.462067
-43.500,9.659912
-43.000,9.863431
