# sintético 3-Wiebe (graus); ver true_parameters.json
theta,xb,dxb_dtheta
-20.0000,0.000921,-0.00060664
-19.8000,-0.003935,0.00088260
-19.6000,0.000843,0.00048512
-19.4000,-0.001467,-0.00061479
-19.2000,-0.001717,0.00028504
-19.0000,0.002325,0.00005704
-18.8000,0.002549,0.00064650
-18.6000,0.000447,-0.00057302
-18.4000,0.000181,-0.00075725
-18.2000,0.001962,0.00055794
-18.0000,-0.001506,-0.00033492
-17.8000,0.004415,-0.00074682
-17.6000,-0.002035,-0.00116646
-17.4000,-0.000192,0.00027773
-17.2000,-0.002060,-0.00053476
-17.0000,-0.000248,-0.00005389
-16.8000,0.004288,0.00038401
-16.6000,0.001248,0.00137205
-16.4000,0.001156,-0.00002435
-16.2000,0.003407,0.00044759
-16.0000,-0.002377,0.00037274
-15.8000,0.000306,-0.00102185
-15.6000,-0.001491,0.00019295
-15.4000,-0.004419,0.00019418
-15.2000,0.001931,0.00048298
-15.0000,0.004397,0.00003318
-14.8000,0.001039,0.00054200
-14.6000,-0.002550,0.00018823
-14.4000,0.002880,0.00117905
-14.2000,-0.001758,0.00146064
-14.0000,0.001608,0.00068073
-13.8000,0.001328,-0.00032218
-13.6000,-0.000086,-0.00043825
-13.4000,0.002123,0.00160181
-13.2000,0.000036,-0.00028170
-13.0000,0.001019,-0.00081246
-12.8000,0.004390,0.00003887
-12.6000,-0.002010,-0.00012448
-12.4000,-0.000743,-0.00013089
-12.2000,-0.001290,0.00018883
-12.0000,-0.000198,0.00049493
-11.8000,-0.000836,-0.00011610
-11.6000,0.002925,0.00170879
-11.4000,-0.001928,0.00033512
-11.2000,0.001552,0.00044512
-11.0000,0.001434,0.00105412
-10.8000,0.001182,0.00166180
-10.6000,-0.001719,0.00104458
-10.4000,0.001637,-0.00056471
-10.2000,-0.000267,-0.00043596
-10.0000,0.002440,-0.00010071
-9.8000,0.001271,-0.00147727
-9.6000,0.001547,0.00013545
-9.4000,-0.000713,-0.00017464
-9.2000,0.000408,-0.00205805
-9.0000,0.002245,0.00114727
-8.8000,0.000032,0.00016814
-8.6000,-0.002083,-0.00014019
-8.4000,0.006464,-0.00073085
-8.2000,-0.001863,-0.00157878
-8.0000,-0.000089,-0.00044954
-7.8000,-0.002247,0.00164014
-7.6000,-0.003712,-0.00013718
-7.4000,-0.001574,-0.00023998
-7.2000,0.001465,0.00091249
-7.0000,0.003458,0.00109716
-6.8000,0.004711,0.00200286
-6.6000,0.002567,0.00511876
-6.4000,0.005707,0.00376428
-6.2000,0.000598,0.00490072
-6.0000,0.003326,0.00962089
-5.8000,0.010491,0.01211985
-5.6000,0.010928,0.01368383
-5.4000,0.011329,0.01411006
-5.2000,0.014501,0.01895911
-5.0000,0.020531,0.02183433
-4.8000,0.025509,0.02323519
-4.6000,0.032350,0.02734123
-4.4000,0.035268,0.02931901
-4.2000,0.042671,0.03497789
-4.0000,0.048861,0.03767291
-3.8000,0.058336,0.04104375
-3.6000,0.066381,0.04243964
-3.4000,0.072254,0.04424562
-3.2000,0.084123,0.04567405
-3.0000,0.087572,0.04688642
-2.8000,0.101083,0.04554926
-2.6000,0.109134,0.04534308
-2.4000,0.116283,0.04365526
-2.2000,0.126443,0.04401018
-2.0000,0.134975,0.04257105
-1.8000,0.144597,0.04000402
-1.6000,0.153467,0.03837140
-1.4000,0.158920,0.03464629
-1.2000,0.167405,0.03094826
-1.0000,0.174786,0.02709807
-0.8000,0.176060,0.02489437
-0.6000,0.179759,0.02009315
-0.4000,0.190056,0.01697876
-0.2000,0.189210,0.01527509
-0.0000,0.190642,0.01329298
0.2000,0.192594,0.01174417
0.4000,0.196235,0.00872298
0.6000,0.200427,0.00781596
0.8000,0.200785,0.01021913
1.0000,0.201148,0.00729911
1.2000,0.201556,0.00826394
1.4000,0.201776,0.00886956
1.6000,0.203029,0.00984521
1.8000,0.207874,0.00937851
2.0000,0.208175,0.01049965
2.2000,0.211651,0.01296270
2.4000,0.215108,0.01291183
2.6000,0.218312,0.01183120
2.8000,0.217630,0.01353775
3.0000,0.218602,0.01610971
3.2000,0.227599,0.01696214
3.4000,0.225722,0.01699536
3.6000,0.231613,0.01848581
3.8000,0.235017,0.01936212
4.0000,0.241416,0.02182247
4.2000,0.245527,0.02169837
4.4000,0.249873,0.02249868
4.6000,0.252321,0.02345336
4.8000,0.257659,0.02130742
5.0000,0.264196,0.02612093
5.2000,0.267003,0.02769549
5.4000,0.274255,0.02819232
5.6000,0.279450,0.02885677
5.8000,0.286229,0.02925853
6.0000,0.289077,0.02927744
6.2000,0.295268,0.03124271
6.4000,0.304007,0.03029683
6.6000,0.307310,0.03327120
6.8000,0.315401,0.03318644
7.0000,0.321074,0.03346658
7.2000,0.327918,0.03350298
7.4000,0.334489,0.03465914
7.6000,0.343771,0.03279205
7.8000,0.349995,0.03639260
8.0000,0.358809,0.03396473
8.2000,0.364444,0.03653759
8.4000,0.371824,0.03661165
8.6000,0.382326,0.03748819
8.8000,0.388766,0.03609692
9.0000,0.392782,0.03722855
9.2000,0.400752,0.03527969
9.4000,0.410104,0.03576619
9.6000,0.411827,0.03767193
9.8000,0.422293,0.03664581
10.0000,0.429289,0.03521979
10.2000,0.434930,0.03727148
10.4000,0.444352,0.03505180
10.6000,0.448433,0.03779630
10.8000,0.463807,0.03496964
11.0000,0.465985,0.03642655
11.2000,0.473233,0.03499674
11.4000,0.477360,0.03323036
11.6000,0.487511,0.03446368
11.8000,0.497880,0.03366453
12.0000,0.500312,0.03339237
12.2000,0.509251,0.03478503
12.4000,0.516130,0.03301016
12.6000,0.515120,0.03290966
12.8000,0.526046,0.03076957
13.0000,0.532547,0.03133362
13.2000,0.537844,0.03032062
13.4000,0.542476,0.03078717
13.6000,0.549677,0.03047188
13.8000,0.553582,0.02920652
14.0000,0.563190,0.02603477
14.2000,0.569119,0.02633525
14.4000,0.575175,0.02440480
14.6000,0.578122,0.02517252
14.8000,0.582160,0.02424368
15.0000,0.591261,0.02460341
15.2000,0.593390,0.02488333
15.4000,0.599327,0.02470075
